,Link,Price
67,https://condos.ca/toronto/lennox-mews-towns-230-234-st-george-st/unit-1-C5312584,"$845,000"
68,https://condos.ca/toronto/the-creed-building-295-davenport-rd/unit-205-C5305456,"$1,050,000"
69,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-217-C5272629,"$530,000"
70,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-611-C5274200,"$683,000"
71,https://condos.ca/toronto/258-robert-street-toronto/c5285667,"$1,615,000"
72,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-3-C5273755,"$881,000"
73,https://condos.ca/toronto/11-croft-street-toronto/c5245103,"$1,950,000"
74,https://condos.ca/toronto/186-howland-avenue-toronto/c5246844,"$1,550,000"
75,https://condos.ca/toronto/21-olive-avenue-toronto/unit-220-C5242111,"$599,000"
76,https://condos.ca/toronto/st-george-mews-284-bloor-st-w/unit-407-C5411137,"$757,500"
77,https://condos.ca/toronto/48-robert-street-toronto/c5418703,"$2,300,000"
78,https://condos.ca/toronto/932-manning-avenue-toronto/c5412439,"$1,328,000"
79,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-227-C5386916,"$810,000"
80,https://condos.ca/toronto/2-borden-street-toronto/c5401429,"$1,750,000"
81,https://condos.ca/toronto/139-borden-street-toronto/c5399729,"$1,435,000"
82,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-1-C5392087,"$975,000"
83,https://condos.ca/toronto/powell-house-212-st-george-st/unit-202-C5382069,"$600,000"
84,https://condos.ca/toronto/31-walmer-road-townhouses-31-walmer-rd/unit-1-C5376574,"$1,446,000"
85,https://condos.ca/toronto/eleven-christie-11-christie-st/unit-105-C5396272,"$840,000"
86,https://condos.ca/toronto/55-prince-arthur-55-prince-arthur-ave/unit-Th57-C5378108,"$3,500,000"
87,https://condos.ca/toronto/sloane-square-217-st-george-st/unit-4-C5319760,"$750,000"
88,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1403-C5384711,"$334,000"
89,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1203-C5383795,"$315,000"
90,https://condos.ca/toronto/26-olive-avenue-toronto/unit-Lph03-C5380862,"$728,000"
91,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-704-C5372624,"$760,000"
92,https://condos.ca/toronto/5-shady-lane-toronto/unit-1112-C5365932,"$660,000"
93,https://condos.ca/toronto/21-olive-avenue-toronto/unit-103-C5376207,"$513,000"
94,https://condos.ca/toronto/school-house-lofts-391-brunswick-ave/unit-203-C5354441,"$930,000"
95,https://condos.ca/toronto/55-prince-arthur-55-prince-arthur-ave/unit-604-C5361670,"$3,430,000"
