address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
916 - 29 Queens Quay E,"$1,480,000",2+1,3,1,"6,410",1264,E,$916.25,60/90 Days,5 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2509,111-130 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Outdoor Pool', 'Party Room', 'BBQ Permitted', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Sauna', 'Visitor Parking', 'Security Guard']"
1701 - 38 Dan Leckie Way,"$780,000",2+1,2,1,"2,453",842,SW,$483.16,90,11 years old,Terrace,Owned,Heat Pump,Underground,Condo Apt,The Waterfront,Yes,TSCC-2097,74-84 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Beanfield Fibre Available', 'FibreStream Internet', 'Games Room']"
3213 - 55 Harbour Sq,"$1,795,000",2+1,2,1,"5,307",1722,NE,"$1,356.89",Immed,41 years old,Juliet Balcony,NA,Baseboard,Underground,Condo Apt,The Waterfront,Yes,MTCC-510,149-167 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Meeting Room', 'Parking Garage', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Indoor Pool']"
TH 120 - 39 Queens Quay E,"$1,658,000",2+1,3,1,"9,301",1947,SE,"$1,525.00",30/60 Days,5 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,The Waterfront,Yes,TSCC-2491,149-167 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Indoor Pool', 'Outdoor Pool']"
1010 - 12 Yonge St,"$810,000",2+1,2,1,"2,951",811,NW,$617.37,End Of July,14 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-1834,74-84 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Tennis Court', 'Beanfield Fibre Available', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Security System', 'Visitor Parking', 'Basketball Court', 'Rec Room', 'Games Room']"
616 - 410 Queens Quay W,"$1,202,000",2+1,2,1,"3,790",1173,SW,"$1,200.33",Tba,18 years old,Open Balcony,None,Fan Coil,Underground,Condo Apt,The Waterfront,Yes,TSCC-1485,93-111 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'FibreStream Internet', 'Games Room']"
706 - 218 Queens Quay W,"$1,040,000",2+1,2,1,"3,489",971,S,$777.52,2021-11-17 00:,16 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-1686,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'BBQ Permitted', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool', 'Outdoor Pool']"
TH. 116 - 29 Queens Quay E,"$2,000,000",2+1,3,2,"9,439",1896,W,"$1,377.53",60Days/Tba,5 years old,Terrace,Owned,Heat Pump,Underground,Condo Townhouse,The Waterfront,Yes,TSCC-2509,167-186 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Sauna', 'Security Guard', 'Beanfield Fibre Available', 'Indoor Pool', 'Outdoor Pool']"
2908 - 33 Bay St,"$1,030,000",2+1,2,1,"4,020",978,SE,$677.55,Immed,9 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2204,84-93 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Sauna', 'Squash Court', 'Basketball Court', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Business Centre (WiFi)', 'Indoor Child Play Area', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Child Play Area', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Security Guard', 'Security System', 'Spa', 'Tennis Court', 'Visitor Parking']"
2412 - 8 York St,"$1,010,000",2+1,2,1,"3,844",1092,SW,$837.50,60 Days-Tba,17 years old,Open Balcony,Owned,Forced Air,Underground,Comm Element Condo,The Waterfront,Yes,TSCC-1598,93-111 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Bike Storage', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool', 'Outdoor Pool']"
1017 - 29 Queens Quay E,"$1,360,000",2+1,2,1,"5,859",1168,E,$847.40,Flex,5 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2509,93-111 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Media Room', 'Meeting Room', 'Sauna', 'Security Guard', 'Beanfield Fibre Available', 'Indoor Pool', 'Outdoor Pool']"
922 - 55 Merchants' Wharf St,"$2,250,000",2+1,3,2,"8,384",1519,SE,"$1,269.40",Tba,3 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2640,130-149 sqm,"['Concierge', 'Outdoor Pool', 'Rooftop Deck', 'BBQ Permitted', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Party Room', 'Security System', 'Visitor Parking', 'Gym', 'Sauna']"
6505 - 10 York St,"$1,995,000",2+1,3,2,"8,807",1687,SE,"$1,104.92",Immed,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2708,149-167 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Sauna', 'Security Guard', 'Spa', 'Yoga Studio', 'Outdoor Pool']"
2510 - 12 Yonge St,"$810,000",2+1,2,1,"2,897",811,NW,$618.05,Immediate/Tba,14 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-1834,74-84 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Tennis Court', 'Beanfield Fibre Available', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Security System', 'Visitor Parking', 'Basketball Court', 'Rec Room', 'Games Room']"
