address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst,size_range_level,include_party_room,include_meeting_room,include_rooftop_deck,include_visitor_parking,include_security_system,include_security_guard,include_pet_restriction,include_guest_suites,include_concierge,include_gym,include_rec_room,include_media_room,include_public_transit,include_bbq_permitted,include_indoor_pool,num_amenities
2610 - 75 Queens Wharf Rd,635000,1,1,0,2194,540,W,369.86,6,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2458,46-56 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
3512 - 21 Iceboat Terr,605000,1,1,1,2065,550,NW,469.2,8,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2301,46-56 sqm,"['Beanfield Fibre Available', 'Concierge', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Visitor Parking', 'Indoor Pool', 'Games Room', 'Gym', 'Media Room', 'Rec Room', 'Security Guard', 'Security System', 'Squash Court', 'Spa']",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,17
611 - 75 Queens Wharf Rd,610000,1,1,0,2016,535,W,367.09,6,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2458,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
605 - 4K Spadina Ave,527500,1,1,0,1751,557,E,350,12,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2009,46-56 sqm,"['Beanfield Fibre Available', 'Business Centre (WiFi)', 'Concierge', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Security Guard', 'Security System', 'Visitor Parking', 'Indoor Pool', 'BBQ Permitted', 'Games Room', 'Gym', 'Media Room', 'Rec Room', 'Sauna']",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18
1508 - 75 Queens Wharf Rd,629900,1,1,0,2187,590,SW,402.27,6,Enclosed Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2568,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26
3205 - 397 Front St W,550000,1,1,0,1638,525,N,407.06,18,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-1517,46-56 sqm,"['Concierge', 'Gym', 'Games Room', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'FibreStream Internet', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Security System', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Rec Room', 'Rooftop Deck', 'Tennis Court', 'Jacuzzi', 'Outdoor Games Lounge', 'Spa', 'Yoga Studio']",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,25
503 - 170 Fort York Blvd,550000,1,1,0,1650,502,NE,410.56,7,None,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2406,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Sauna', 'Visitor Parking', 'Public Transit', 'Bike Storage', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet', 'Rooftop Deck', 'Library']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,19
103 - 35 Mariner Terr,620000,1,1,1,2181,603,S,435.67,16,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-1713,56-65 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'Bowling Valley', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Tennis Court', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool', 'Golf Simulator']",2,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,23
1208 - 170 Fort York Blvd,565000,1,1,0,1877,492,E,432.96,7,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2406,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Library', 'FibreStream Internet']",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,19
2315 - 25 Telegram Mews,572000,1,1,1,1809,560,N,318.19,12,Open Balcony,NA,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2016,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Beanfield Fibre Available', 'Indoor Pool']",2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,15
2105 - 15 Fort York Blvd,597000,1,1,0,1760,535,NE,319.68,13,Open Balcony,None,Heat Pump,Underground,Condo Apt,cityplace,Yes,TSCC-1955,46-56 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Party Room', 'Security Guard', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Visitor Parking', 'Games Room', 'Rec Room', 'Rooftop Deck']",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,16
3305 - 397 Front St W,570000,1,1,1,1833,525,N,438.56,18,Open Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-1517,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Tennis Court', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,20
1615 - 15 Iceboat Terr,545000,1,1,0,2100,461,N,340.1,10,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2157,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Squash Court', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']",0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,15
2301 - 25 Telegram Mews,575000,1,1,0,1754,540,N,306.84,12,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2016,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Beanfield Fibre Available', 'Indoor Pool']",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,15
3207 - 70 Queens Wharf Rd,630000,1,1,1,2170,505,N,430,2,Open Balcony,NA,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2691,46-56 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Media Room', 'Meeting Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Indoor Pool', 'Outdoor Pool']",1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,11
