address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst,size_range_level,include_party_room,include_meeting_room,include_rooftop_deck,include_visitor_parking,include_security_system,include_security_guard,include_pet_restriction,include_guest_suites,include_concierge,include_gym,include_rec_room,include_media_room,include_public_transit,include_bbq_permitted,include_indoor_pool,num_amenities
611 - 99 Cameron St,680000,2,2,1,2536,NA,W,753.09,30,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,MTCC-952,93-111 sqm,"['Concierge', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Rec Room']",6,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,6
PH10 - 10 Willison Sq,850500,3,2,1,4014,927,SE,601.67,4,Terrace,None,Forced Air,Owned,Condo Apt,alexandrapark,Yes,TSCC-2582,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",5,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,13
912 - 10 Willison Sq,598000,1+1,1,0,2309,586,E,361.19,4,None,Owned,Forced Air,NA,Condo Apt,alexandrapark,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,12
TH15 - 68 Carr St,755000,2,1,1,2847,NA,SE,660.27,15,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security Guard', 'Security System', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,10
15 - 60 Carr St,660000,2,1,0,2597,1125,W,519.4,15,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,65-74 sqm,"['Rooftop Deck', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'FibreStream Internet']",3,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
1011 - 10 Willison Sq,590000,1+1,1,0,2327,600,E,361.19,4,None,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,11
TH 10 - 68 Carr St,410000,Studio,1,0,1787,NA,W,213,15,Terrace,None,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,0-46 sqm,"['BBQ Permitted', 'Security Guard', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System', 'Visitor Parking']",0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
PH01 - 115 Denison Ave,920000,2,2,0,NA,NA,E,655,0,Open Balcony,None,Forced Air,NA,Condo Apt,alexandrapark,Yes,NA,65-74 sqm,"['Gym', 'Concierge', 'Party Room', 'Guest Suites', 'Outdoor Pool']",3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5
TH3 - 80 Carr St E,815500,2,1,1,2902,NA,SE,632.94,11-15,Terrace,NA,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,MTCC-179,84-93 sqm,"['BBQ Permitted', 'Rooftop Deck', 'Security Guard', 'Visitor Parking']",5,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,4
1009 - 99 Cameron St,720000,3+1,2,1,2471,NA,W,659.45,30,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,MTCC-952,93-111 sqm,"['Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System']",6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5
TH32 - 80 Carr St,720000,2,1,1,2501,NA,SW,500.55,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,65-74 sqm,"['Visitor Parking', 'BBQ Permitted', 'Security Guard']",3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3
TH 28 - 80 Carr St,695000,1,1,1,2321,NA,SW,432.42,-,Open Balcony,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,56-65 sqm,"['Security System', 'Visitor Parking']",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TH12 - 68 Carr St,768000,2,2,1,2789,NA,E,598.12,14,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Security Guard', 'Security System', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
307 - 115 Denison Ave,770000,1+1,1,0,NA,NA,W,579,0,Open Balcony,None,Forced Air,NA,Condo Apt,alexandrapark,Yes,NA,56-65 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Outdoor Pool', 'Party Room']",2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5
910 - 10 Willison Sq,815888,3,2,1,3502,NA,SE,573.04,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,alexandrapark,Yes,TSCC-2582,74-84 sqm,"['Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System', 'BBQ Permitted', 'Gym', 'Visitor Parking']",4,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,13
TH29 - 80 Carr St,711000,2,2,0,2480,NA,NS,446,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,65-74 sqm,"['BBQ Permitted', 'Security Guard']",3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
37 - 88 Carr St,709999,2,2,1,2549,NA,E,530.06,11-15,Terrace,NA,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,74-84 sqm,"['BBQ Permitted', 'Security System']",4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
206 - 10 Willison Sq,525000,1+1,1,0,2352,NA,S,382.17,3,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,TSCC-2582,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",2,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,12
11 - 98 Carr St,760000,2,2,1,2885,NA,N,634.39,14,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security Guard', 'Security System', 'Visitor Parking']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
820 - 99 Cameron St,919888,2+1,2,1,3082,NA,E,902.42,30,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,MTCC-952,111-130 sqm,"['Concierge', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System']",7,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,6
1001 - 519 Dundas Street W,550000,2,0,1,NA,790,NA,NA,32,NA,NA,NA,Underground,Condo Apt,NA,NA,NA,65-74 sqm,"['Public Transit', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System']",3,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,5
12 - 98 Carr St,765000,2,2,1,2927,NA,NW,635.65,14,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['Rooftop Deck', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'FibreStream Internet']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
TH19 - 68 Carr St,706000,2,2,1,2501,NA,W,506.13,14,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,65-74 sqm,"['BBQ Permitted', 'Security Guard', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System']",3,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
TH3 - 68 Carr St,721000,2,2,1,2871,NA,SW,598.81,14,Terrace,None,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security Guard', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,10
TH12 - 88 Carr St,727000,2,2,1,2748,NA,W,598.12,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1974,84-93 sqm,[],5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
407 - 284 Bloor St W,757500,2,1,0,2841,871,N,882.54,30,Open Balcony,Exclusive,Forced Air,Underground,Condo Apt,annexuoft,Yes,MTCC-946,74-84 sqm,"['Gym', 'Party Room', 'Rec Room', 'Security Guard', 'Security System', 'Rooftop Deck', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Bike Storage', 'BBQ Permitted']",4,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,11
227 - 783 Bathurst St,810000,2,2,1,3178,805,W,704.95,7,Terrace,None,Fan Coil,Underground,Condo Apt,annexuoft,Yes,TSCC-2405,74-84 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'FibreStream Internet']",4,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,15
1 - 157 Madison Ave,975000,1+1,1,1,3452,NA,W,700,37,None,NA,Forced Air,Owned,Condo Apt,annexuoft,Yes,MTCC-632,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security System']",5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
202 - 212 St George St,600000,1,1,1,2249,NA,S,1075.41,41,Open Balcony,None,Heat Pump,Underground,Condo Apt,annexuoft,No,YCP-529,65-74 sqm,"['Gym', 'Rooftop Deck', 'Visitor Parking', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System']",3,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,7
1 - 31 Walmer Rd,1446000,3,3,1,3976,NA,SW,850,42,Open Balcony,None,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,YCC-434,232-255 sqm,"['Visitor Parking', 'BBQ Permitted', 'Bike Storage']",13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
105 - 11 Christie St,840000,2,2,1,2459,950,W,813.55,10,Terrace,None,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-2116,84-93 sqm,"['Rooftop Deck', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Parking Garage', 'Pet Restriction']",5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,6
TH 57 - 55 Prince Arthur Ave,3500000,2+1,3,2,8736,2748,N,3122.09,35,Terrace,NA,Heat Pump,Underground,Condo Townhouse,annexuoft,Yes,MTCC-717,279-302 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Public Transit', 'Parking Garage', 'Sauna', 'Security Guard', 'Security System', 'Meeting Room', 'Party Room', 'BBQ Permitted']",15,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,15
4 - 217 St. George St,750000,1+1,1,1,2866,NA,W,637.57,26,Terrace,Owned,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,MTCC-1095,74-84 sqm,"['Pets', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Security System']",4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5
1403 - 720 Spadina Ave,334000,Studio,1,0,NA,NA,S,570.3,-,Terrace,None,Forced Air,Underground,Co-Ownership Apt,annexuoft,No,NR,0-46 sqm,"['Gym', 'Rooftop Deck', 'Sauna', 'Security System', 'Outdoor Pool']",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5
1203 - 720 Spadina Ave,315000,Studio,1,0,NA,NA,S,570.3,-,Open Balcony,None,Forced Air,Underground,Co-Ownership Apt,annexuoft,No,NA,0-46 sqm,"['Gym', 'Rooftop Deck', 'Sauna', 'Outdoor Pool']",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
LPH03 - 26 Olive Ave,728000,2,2,1,2291,862,SW,672.22,-,Open Balcony,Owned,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1506,74-84 sqm,"['Concierge', 'Gym', 'Party Room', 'Security Guard', 'Visitor Parking']",4,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,5
704 - 736 Spadina Ave,760000,1+1,1,1,3354,771,SW,638.21,13,Open Balcony,Owned,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,65-74 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Rooftop Deck', 'Visitor Parking', 'Party Room', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Bike Storage', 'Games Room', 'BBQ Permitted', 'Yoga Studio']",3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,15
1112 - 5 Shady Gfwy,660000,3,2,1,1421,1100,SE,740.99,-,Open Balcony,NA,Forced Air,Underground,Condo Apt,annexuoft,Yes,YCC-190,93-111 sqm,"['Bike Storage', 'Gym', 'Indoor Pool', 'Security System', 'Visitor Parking']",6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
103 - 21 Olive Ave,513000,1,1,1,2102,440,S,373.32,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,TSCC-2107,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Indoor Pool']",2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,6
203 - 391 Brunswick Ave,930000,1+1,2,0,4326,1032,E,1155.91,11,None,Owned,Heat Pump,Underground,Condo Apt,annexuoft,Yes,TSCC-2086,93-111 sqm,"['BBQ Permitted', 'Bike Storage', 'Parking Garage', 'Pet Restriction', 'Security System']",6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,5
604 - 55 Prince Arthur Ave,3430000,3,4,2,8390,2327,SE,3279.06,35,Open Balcony,NA,Heat Pump,Underground,Condo Apt,annexuoft,Yes,MTCC-717,255-279 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Public Transit', 'Parking Garage', 'Sauna', 'Security Guard', 'Security System', 'Guest Suites', 'Meeting Room']",14,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,14
1109 - 736 Spadina Ave,1288000,2+1,2,1,5035,1230,NE,968.42,13,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room']",7,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
1411 - 736 Spadina Ave,850000,2,2,1,3263,772,S,629.63,13,Open Balcony,Owned,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,65-74 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Rooftop Deck', 'Security Guard', 'Visitor Parking', 'Party Room', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Bike Storage', 'Games Room']",3,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
TH105 - 18 Loretto Lane,1030000,3,2,1,4871,NA,E,1050.92,7,Terrace,Owned,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,TSCC-2045,111-130 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'FibreStream Internet']",7,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,17
606 - 736 Spadina Ave,865000,2,2,1,3483,828,NW,669.93,13,Open Balcony,Owned,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,74-84 sqm,"['Concierge', 'Gym', 'Rooftop Deck', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Bike Storage', 'Games Room']",4,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
803 - 190 St George St,850000,1,1,1,3220,NA,E,904.5,50,Open Balcony,NA,Forced Air,Underground,Condo Apt,annexuoft,Yes,YCC-40,65-74 sqm,"['Gym', 'Visitor Parking', 'Bike Storage', 'Rec Room', 'Sauna', 'Security System']",3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,6
801 - 736 Spadina Ave,625000,1,1,0,2548,608,S,455.96,13,Open Balcony,Owned,Forced Air,NA,Condo Apt,annexuoft,Yes,TSCC-1950,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Car Wash', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room']",2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,14
2 - 355 Dupont St,2325000,3,3,1,NA,NA,NS,250,-,Open Balcony,Ensuite,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,NA,186-209 sqm,[],11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217 - 783 Bathurst St,655000,1+1,1,0,2609,697,W,481.77,6,Open Balcony,None,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-2405,65-74 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Media Room', 'Party Room', 'Security Guard', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Business Centre (WiFi)', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'Visitor Lounge', 'FibreStream Internet']",3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,17
#8 - 28 Admiral Rd,1558000,3+1,3,1,4216,NA,N,744.45,-,Juliet Balcony,NA,Heat Pump,Underground,Condo Townhouse,annexuoft,Yes,YCC-131,167-186 sqm,"['BBQ Permitted', 'Bike Storage', 'Visitor Parking']",10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
5 - 126 Spadina Rd,1314400,2+1,3,1,4613,1434,E,220,3,Terrace,None,Forced Air,Surface,Condo Townhouse,annexuoft,Yes,TSCC-2331,93-111 sqm,['Rooftop Deck'],6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
305 - 736 Spadina Ave,685000,1+1,1,0,2548,626,W,459.63,13,Open Balcony,NA,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room']",2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
608 - 783 Bathurst St,535000,Studio,1,0,2041,509,E,351.83,6,None,None,Forced Air,NA,Condo Apt,annexuoft,Yes,TSCC-2405,46-56 sqm,"['Concierge', 'Gym', 'Party Room', 'Visitor Parking', 'Public Transit', 'BBQ Permitted', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'FibreStream Internet']",1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,16
1808 - 736 Spadina Ave,735000,1+1,1,1,2786,638,N,517.71,13,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,56-65 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Media Room', 'Rooftop Deck', 'Visitor Parking', 'Party Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Bike Storage', 'Games Room']",2,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
1602 - 5 Shady Gfwy,518000,2+1,1,1,1265,995,NE,670.3,31-50,Open Balcony,Ensuite,Forced Air,Underground,Condo Apt,annexuoft,Yes,YCC-190,93-111 sqm,"['Gym', 'Party Room', 'Visitor Parking', 'Security System', 'Indoor Pool']",6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,5
1 - 232 St George St,845000,2,2,1,3088,NA,EW,834.91,29,Terrace,Owned,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,MTCC-1139,93-111 sqm,"['Visitor Parking', 'BBQ Permitted', 'Security System']",6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3
205 - 295 Davenport Rd,1050000,2,2,0,3495,1175,SE,839.19,22,Terrace,NA,Forced Air,NA,Condo Apt,annexuoft,Yes,MTCC-1234,93-111 sqm,"['BBQ Permitted', 'Bike Storage', 'Security System', 'Visitor Parking', 'Public Transit', 'Parking Garage', 'Pet Restriction']",6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,7
217 - 736 Spadina Ave,530000,1,1,0,2126,514,S,368.02,13,Open Balcony,NA,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-1950,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room']",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,13
611 - 783 Bathurst St,683000,1+1,1,1,2633,690,SW,476.93,6,Open Balcony,None,Forced Air,Underground,Condo Apt,annexuoft,Yes,TSCC-2405,65-74 sqm,"['Concierge', 'Gym', 'Party Room', 'Visitor Parking', 'Public Transit', 'BBQ Permitted', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'FibreStream Internet']",3,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,16
3 - 157 Madison Ave,881000,2,1,1,2664,NA,EW,559,37,Open Balcony,None,Forced Air,Surface,Condo Apt,annexuoft,Yes,MTCC-632,74-84 sqm,"['BBQ Permitted', 'Bike Storage', 'Security System']",4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
220 - 21 Olive Ave,599000,1+1,1,1,2747,440,S,513.64,-,Open Balcony,Owned,Forced Air,Underground,Condo Townhouse,annexuoft,Yes,TSCC-2107,74-84 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Sauna', 'Visitor Parking']",4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,6
1003 - 1055 Bay St,535000,Studio,1,1,1937,506,E,517.99,34,None,Owned,Forced Air,Underground,Condo Apt,baystcorridor,Yes,MTCC-734,46-56 sqm,"['Concierge', 'Gym', 'Sauna', 'Security Guard', 'Squash Court', 'Visitor Parking', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Security System', 'Jacuzzi', 'Rec Room', 'Meeting Room', 'Party Room', 'Rooftop Deck']",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,15
705 - 717 Bay St,470000,Studio,1,0,1796,500,W,403.16,31,None,None,Fan Coil,Underground,Condo Apt,baystcorridor,Yes,MTCC-901,46-56 sqm,"['Gym', 'Concierge', 'Party Room', 'BBQ Permitted', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Indoor Pool']",1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,12
#2603 - 75 St Nicholas St,537000,Studio,1,0,1937,NA,S,295.98,6,Open Balcony,None,Heat Pump,Underground,Condo Apt,baystcorridor,Yes,TSCC-2444,0-46 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Security Guard', 'Visitor Parking', 'Elevator', 'Media Room', 'Meeting Room', 'Pet Restriction', 'Rec Room', 'Security System', 'FibreStream Internet', 'Games Room']",0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,14
3508 - 7 Grenville St,556000,Studio,1,0,1754,368,E,262.77,2,Juliet Balcony,None,Forced Air,NA,Condo Apt,baystcorridor,Yes,TSCC-2736,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Security Guard', 'Indoor Pool']",0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,8
1604 - 15 Grenville St,440000,Studio,1,0,1700,277,N,211,5,None,None,Forced Air,Underground,Condo Apt,baystcorridor,Yes,TSCC-2532,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Rec Room', 'Sauna', 'Games Room']",0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,12
4108 - 65 St Mary St,550000,Studio,1,0,1680,NA,E,227.02,5,Open Balcony,Owned,Forced Air,Underground,Condo Apt,baystcorridor,Yes,TSCC-2525,0-46 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Media Room', 'Party Room', 'Outdoor Patio', 'Rec Room', 'Sauna', 'Meeting Room', 'Rooftop Deck', 'Visitor Parking']",0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,11
1213 - 711 Bay St,532000,Studio,1,1,2010,500,S,470.82,31,None,Owned,Forced Air,Underground,Condo Apt,baystcorridor,Yes,MTCC-901,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Car Wash', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Indoor Pool']",1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,13
2015 - 763 Bay St,537000,Studio,1,0,1925,430,N,280.14,14,None,None,Fan Coil,Underground,Condo Apt,baystcorridor,Yes,TSCC-1866,0-46 sqm,"['Concierge', 'Party Room', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Indoor Pool', 'Gym', 'Media Room', 'Rec Room', 'Golf Simulator', 'Beanfield Fibre Available']",0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,15
